order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,region,product_id,category,product_name,sales,quantity,discount,profit,month,year,profit_margin,shipping_days,sub_category,postal_code,order_priority
34,2/27/2016,5/29/2016,Standard Shipping,34,Nicol Sandars,Consumer,China,Hezhai,,West,34,Technology,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,631.54,44,0.16,439.42,5,2019,0.41,1,Chairs,,Medium
35,12/18/2017,5/6/2018,Express Shipping,35,Joyce Drewry,Consumer,United States,Evansville,Indiana,South,35,Office Supplies,ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,385.04,34,0.24,344.45,8,2015,0.39,8,Chairs,47732,High
36,5/6/2020,12/19/2018,Standard Shipping,36,Jeremiah Whiten,Corporate,Netherlands,Voorburg,Provincie Zuid-Holland,South,36,Technology,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis,460.78,89,0.43,434.82,1,2019,0.35,5,Chairs,2274,Low
37,10/20/2017,2/5/2016,Express Shipping,37,Jackson Brood,Corporate,Ukraine,Troyitsâke,,East,37,Technology,rutrum nulla nunc purus phasellus in felis donec semper sapien a,280.16,35,0.08,66.25,10,2019,0.18,2,Phones,,Low
38,1/26/2018,6/10/2015,Standard Shipping,38,Myrna Lavigne,Consumer,Czech Republic,HulÃ­n,,West,38,Furniture,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,378.29,1,0.1,253.89,6,2017,0.07,3,Binders,768 24,Low
39,9/13/2019,12/8/2020,Same Day Shipping,39,Joanne Sanham,Consumer,Indonesia,Manonjaya,,West,39,Furniture,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,253.81,67,0.18,237.14,3,2020,0.31,7,Phones,,Medium
40,3/18/2016,7/18/2019,Same Day Shipping,40,Lotta Klausen,Home Office,Portugal,Ladoeiro,Castelo Branco,East,40,Technology,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,521.72,22,0.16,177.46,4,2019,0.43,6,Phones,6060-205,Medium
41,2/4/2018,9/10/2017,Same Day Shipping,41,Sterling Roomes,Home Office,Poland,KunÃ³w,,North,41,Technology,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,686.11,62,0.11,360.01,12,2016,0.1,6,Phones,27-415,Medium
42,7/27/2015,3/9/2018,Same Day Shipping,42,Nicolais Nenci,Home Office,France,Amiens,Picardie,South,42,Furniture,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,53.01,57,0.02,332.48,1,2017,0.23,4,Phones,80004 CEDEX 1,Low
43,12/23/2020,2/22/2019,Standard Shipping,43,Diego Fry,Home Office,Peru,Lima Pampa,,South,43,Technology,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,980.15,90,0.1,387.34,6,2020,0.33,4,Binders,,Low
44,11/25/2020,8/7/2016,Same Day Shipping,44,Kellia Rathke,Corporate,Greece,NÃ­kiti,,West,44,Technology,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,756.14,53,0.16,427.25,1,2015,0.44,9,Phones,,Medium
45,5/26/2018,12/12/2017,Standard Shipping,45,Banky Reah,Home Office,Czech Republic,HoÅice,,East,45,Office Supplies,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,90.18,29,0.19,320.1,4,2016,0.16,9,Binders,678 01,Low
46,1/19/2019,9/17/2016,Express Shipping,46,Jesselyn Kaser,Corporate,United States,Saint Paul,Minnesota,North,46,Technology,faucibus cursus urna ut tellus nulla ut erat id mauris,497.23,73,0.42,348.36,7,2019,0.1,3,Binders,55188,Low
47,4/30/2015,8/7/2019,Same Day Shipping,47,Crichton Moyes,Home Office,Serbia,Golubinci,,West,47,Office Supplies,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu,703.88,75,0.35,439.34,11,2020,0.37,7,Chairs,,Low
48,12/8/2018,4/27/2016,Express Shipping,48,Melisenda Roby,Consumer,China,Longwan,,South,48,Furniture,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien,514.97,93,0.3,191.31,11,2019,0.13,5,Binders,,Medium
49,5/13/2017,3/21/2019,Express Shipping,49,Rafferty Kighly,Corporate,Russia,Zherdevka,,South,49,Office Supplies,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,658.6,28,0.1,19.18,7,2016,0.25,5,Phones,397100,Medium
50,6/1/2019,8/28/2015,Same Day Shipping,50,Dillie Haborn,Corporate,Albania,GrudÃ«-FushÃ«,,North,50,Furniture,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,945.81,27,0.5,189.82,2,2020,0.18,5,Chairs,,Medium
51,5/22/2020,4/23/2015,Same Day Shipping,51,Sal Joppich,Home Office,Latvia,AknÄ«ste,,West,51,Furniture,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,434.49,31,0.2,238.2,3,2017,0.34,5,Phones,,High
52,6/4/2016,6/25/2015,Standard Shipping,52,Zebulen Penticost,Corporate,China,Hongcao,,West,52,Technology,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,764.29,54,0.35,340.61,12,2020,0.05,10,Phones,,Medium
53,9/18/2015,7/20/2018,Express Shipping,53,Zacherie Vevers,Home Office,China,Sanzao,,West,53,Office Supplies,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,364.79,10,0.35,189.63,3,2015,0.08,3,Phones,,High
54,2/6/2020,3/21/2018,Standard Shipping,54,Ellissa Abrehart,Home Office,China,Yingdianjie,,North,54,Furniture,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,158.1,27,0.26,329.59,8,2018,0.3,10,Binders,,High
55,9/1/2019,11/18/2017,Standard Shipping,55,Julie Hardwicke,Home Office,Palestinian Territory,âAÅÄ«rah ash ShamÄlÄ«yah,,South,55,Office Supplies,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,190.25,34,0.19,105.6,2,2016,0.46,7,Binders,,Medium
56,9/13/2018,10/5/2020,Express Shipping,56,Karlene Ledley,Consumer,China,Wangâer,,South,56,Office Supplies,in faucibus orci luctus et ultrices posuere cubilia curae nulla,419.91,76,0.28,317.12,8,2015,0.35,8,Chairs,,Medium
57,11/26/2018,10/6/2020,Standard Shipping,57,Julianna deKnevet,Home Office,Botswana,Maunatlala,,East,57,Office Supplies,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,476.98,5,0.15,457.78,2,2020,0.43,2,Chairs,,Medium
58,1/1/2019,2/28/2020,Same Day Shipping,58,Vassili Dumini,Consumer,China,Xiabeisi,,West,58,Office Supplies,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,115.7,95,0.48,176.6,4,2018,0.46,4,Chairs,,Low
59,12/14/2015,12/26/2017,Same Day Shipping,59,Pauly Danslow,Consumer,Afghanistan,BaghlÄn,,North,59,Furniture,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,360.77,96,0.14,383.16,1,2018,0.24,6,Phones,,Medium
60,2/15/2015,8/22/2017,Same Day Shipping,60,Joey Gumary,Consumer,China,Wufeng,,East,60,Office Supplies,duis ac nibh fusce lacus purus aliquet at feugiat non,297.71,12,0.13,57.42,2,2016,0.2,7,Binders,,Medium
61,11/13/2017,3/24/2020,Standard Shipping,61,Fina BURWIN,Home Office,Jordan,á¸¨Ätim,,South,61,Office Supplies,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,439.81,72,0.27,215.45,5,2018,0.43,3,Phones,,Low
62,4/7/2016,4/12/2020,Same Day Shipping,62,Zechariah Bagnold,Consumer,Panama,Guadalupe,,West,62,Furniture,porttitor id consequat in consequat ut nulla sed accumsan felis ut at,222.41,17,0.36,178.42,8,2017,0.5,3,Chairs,,High
63,2/17/2016,2/10/2019,Same Day Shipping,63,Calypso Placstone,Corporate,Myanmar,Lashio,,East,63,Office Supplies,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,595.26,24,0.4,365.75,9,2020,0.34,3,Phones,,High
64,7/8/2020,11/22/2019,Same Day Shipping,64,Lesli Halleday,Consumer,Colombia,Pizarro,,West,64,Technology,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,913.41,89,0.31,188.9,2,2019,0.22,8,Chairs,275038,High
65,10/17/2020,3/22/2020,Same Day Shipping,65,Sly Shillam,Home Office,Brazil,Wenceslau Braz,,South,65,Furniture,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,737.79,37,0.23,110.8,4,2016,0.41,3,Chairs,84950-000,Medium
66,2/28/2017,9/10/2020,Express Shipping,66,Flossy Lobell,Corporate,Portugal,Corticeiro de Baixo,Coimbra,East,66,Office Supplies,ante vivamus tortor duis mattis egestas metus aenean fermentum donec,112.46,84,0.17,56.96,5,2016,0.29,10,Binders,3070-635,Medium
67,6/5/2017,4/10/2016,Same Day Shipping,67,Cheslie Oldroyde,Consumer,Morocco,Rislane,,East,67,Technology,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,240.67,70,0.26,362.2,1,2019,0.34,6,Binders,,High
68,3/13/2016,7/31/2019,Same Day Shipping,68,Alanna Haggis,Consumer,China,Qianchuan,,West,68,Office Supplies,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,169.54,95,0.0,219.17,1,2019,0.35,10,Phones,,High
69,1/24/2015,5/25/2015,Standard Shipping,69,Karry Manley,Home Office,China,Pailou,,South,69,Furniture,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,241.51,42,0.44,378.79,11,2019,0.32,9,Binders,,High
70,7/5/2016,10/3/2015,Express Shipping,70,Claudianus Cardew,Home Office,Tanzania,Sikonge,,West,70,Technology,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,193.58,66,0.01,400.03,12,2016,0.14,3,Chairs,,High
71,11/6/2017,8/22/2019,Standard Shipping,71,Gretal Teresi,Corporate,Sweden,Stockholm,Stockholm,East,71,Technology,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,600.49,85,0.0,401.17,2,2017,0.26,2,Chairs,131 88,Medium
72,9/8/2015,6/5/2016,Standard Shipping,72,Van Molesworth,Consumer,Indonesia,Ulee Gle,,East,72,Technology,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,466.22,71,0.13,156.18,8,2017,0.21,2,Phones,,Low
73,4/19/2015,6/16/2016,Same Day Shipping,73,Caesar Bartlomieczak,Consumer,Indonesia,Pataha,,North,73,Office Supplies,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,636.18,26,0.42,124.61,2,2018,0.26,6,Binders,,Low
74,11/27/2016,11/26/2017,Standard Shipping,74,Brook Snoxill,Corporate,Poland,SmÄtowo Graniczne,,South,74,Furniture,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,349.29,92,0.05,328.44,10,2016,0.31,8,Phones,83-230,Medium
75,6/22/2020,12/7/2019,Express Shipping,75,Raynell Oldrey,Corporate,Mozambique,Montepuez,,North,75,Furniture,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,81.12,96,0.32,357.67,2,2016,0.33,9,Chairs,,Low
76,4/16/2015,7/16/2018,Standard Shipping,76,Coop Barltrop,Consumer,China,Binhe,,South,76,Office Supplies,rhoncus dui vel sem sed sagittis nam congue risus semper,206.55,29,0.48,448.49,1,2017,0.36,1,Chairs,,Medium
77,6/6/2017,5/2/2015,Express Shipping,77,Austin Connor,Consumer,China,Hulan,,South,77,Office Supplies,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,143.82,79,0.08,373.12,4,2020,0.22,10,Chairs,,High
78,3/4/2019,9/24/2016,Express Shipping,78,Jaimie Hutt,Consumer,Portugal,Pedome,Braga,West,78,Furniture,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,407.98,14,0.11,397.53,2,2015,0.07,4,Chairs,4765-135,Medium
79,2/23/2020,12/1/2020,Standard Shipping,79,Verney Del Dello,Home Office,Tanzania,Mahuta,,West,79,Furniture,mi pede malesuada in imperdiet et commodo vulputate justo in blandit,275.26,84,0.45,413.82,7,2015,0.34,4,Binders,,Low
80,4/4/2018,1/30/2016,Express Shipping,80,Drucie Poyntz,Consumer,Peru,Urasqui,,South,80,Office Supplies,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,523.14,21,0.21,90.28,6,2019,0.07,10,Binders,,Medium
81,3/14/2018,10/14/2019,Express Shipping,81,Garvey Roseburgh,Home Office,Portugal,GÃ¢ndara de AquÃ©m,Leiria,West,81,Office Supplies,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,640.61,75,0.24,411.37,12,2016,0.09,10,Chairs,2425-445,High
82,10/9/2016,9/2/2019,Standard Shipping,82,Hardy Carnew,Consumer,Indonesia,Larangan,,West,82,Office Supplies,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,114.23,78,0.04,218.69,6,2020,0.1,8,Phones,,Medium
83,11/25/2017,11/13/2015,Same Day Shipping,83,Melina Roncelli,Home Office,Bosnia and Herzegovina,Maglaj,,East,83,Office Supplies,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,439.11,52,0.34,20.7,10,2019,0.12,4,Binders,,Low
84,9/29/2020,11/11/2019,Express Shipping,84,Jessie Donisthorpe,Home Office,Sweden,BorÃ¥s,VÃ¤stra GÃ¶taland,North,84,Furniture,duis faucibus accumsan odio curabitur convallis duis consequat dui nec,122.21,87,0.25,339.6,6,2019,0.25,1,Phones,501 83,Medium
85,9/18/2015,12/24/2020,Standard Shipping,85,Henrieta Chiene,Consumer,China,Tongxing,,South,85,Furniture,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,613.73,54,0.06,368.02,6,2019,0.19,4,Phones,,High
86,10/18/2016,8/11/2020,Standard Shipping,86,Kariotta Niven,Consumer,Philippines,Bugo,,West,86,Office Supplies,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,871.45,83,0.18,328.04,10,2020,0.29,9,Chairs,9222,Low
87,2/25/2018,10/28/2020,Express Shipping,87,Saxe Leftridge,Corporate,China,Bangjun,,East,87,Office Supplies,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,445.5,36,0.39,293.37,4,2015,0.19,3,Chairs,,Medium
88,10/9/2019,2/20/2016,Same Day Shipping,88,Lorain Rakestraw,Home Office,Portugal,Bemposta,Viana do Castelo,West,88,Technology,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,632.27,42,0.22,311.29,1,2017,0.34,10,Binders,4980-403,Low
89,9/6/2017,12/28/2017,Express Shipping,89,Dilly Keech,Corporate,China,Meiyuan Xincun,,North,89,Furniture,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,814.97,11,0.16,438.02,8,2015,0.1,10,Chairs,,Low
90,3/7/2017,1/10/2018,Standard Shipping,90,Anallese Truin,Consumer,El Salvador,Santiago de MarÃ­a,,West,90,Technology,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,162.74,48,0.34,428.84,1,2020,0.2,8,Phones,,Medium
91,8/1/2016,3/11/2016,Express Shipping,91,Lynn Kerwood,Consumer,Armenia,Getazat,,West,91,Furniture,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,304.29,21,0.17,328.98,4,2019,0.21,4,Binders,,High
92,2/28/2017,7/8/2018,Express Shipping,92,April Birdwistle,Home Office,Russia,Yekaterinovka,,East,92,Office Supplies,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,465.28,74,0.16,431.59,4,2018,0.26,1,Binders,692974,Medium
93,12/14/2016,1/9/2015,Same Day Shipping,93,Jojo Swait,Home Office,United States,Hartford,Connecticut,West,93,Furniture,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,332.87,42,0.12,75.05,12,2015,0.25,9,Chairs,06152,Low
94,2/8/2018,7/25/2019,Express Shipping,94,Ricky Bonallack,Home Office,China,LÃ¼feng,,North,94,Furniture,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,698.68,75,0.09,14.18,12,2019,0.34,1,Binders,,Low
95,12/25/2020,6/28/2016,Express Shipping,95,Esta Hawtin,Corporate,China,Zhongxing,,South,95,Technology,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,40.85,5,0.11,69.28,6,2018,0.11,8,Phones,,Medium
96,1/27/2018,10/23/2019,Same Day Shipping,96,Howie Baudino,Consumer,North Korea,KaesÅng,,West,96,Technology,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,765.03,43,0.03,79.16,8,2016,0.44,10,Phones,,Low
97,11/8/2017,9/20/2016,Same Day Shipping,97,Dex Songest,Home Office,United States,Scottsdale,Arizona,West,97,Furniture,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,160.51,36,0.39,440.96,4,2015,0.48,10,Chairs,85260,Low
98,9/18/2016,3/16/2020,Standard Shipping,98,Sky Habercham,Home Office,Finland,JÃ¤msÃ¤nkoski,,South,98,Technology,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,320.1,7,0.37,282.55,9,2016,0.15,9,Binders,42301,High
